QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.748250,0.026790,0.100050,-0.052950,0.052100,0.384390,1.000000,8.950000,815x285,8.950000,9.160000,98.000000,1.800000,1.870000,582x227,2.150000,-0.247780,0.026890,0.100060,-0.058750,-0.025020,0.370570,30.000000,7.300000,0.070000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.735510,0.027850,0.103070,-0.054220,0.052820,0.379590,16.000000,8.500000,690x366,8.560000,8.750000,98.500000,1.920000,1.960000,10x21,2.360000,-0.261310,0.027910,0.103070,-0.060030,-0.026920,0.367630,23.000000,6.800000,0.065000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.721570,0.028740,0.105890,-0.055290,0.052040,0.377320,1.000000,8.100000,10x332,8.210000,8.360000,99.000000,2.050000,2.110000,483x216,2.080000,-0.274760,0.028850,0.105430,-0.061340,-0.028520,0.365870,94.000000,6.300000,0.060000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.707620,0.029590,0.108430,-0.055770,0.052360,0.373080,15.000000,7.750000,994x465,7.800000,8.010000,99.500000,2.190000,2.240000,269x207,2.330000,-0.289710,0.029700,0.108110,-0.062870,-0.029870,0.364050,22.000000,5.800000,0.056000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.692790,0.030570,0.110190,-0.056880,0.051770,0.369080,39.000000,7.200000,546x375,7.450000,7.600000,100.000000,2.320000,2.390000,301x311,2.390000,-0.305080,0.030570,0.110480,-0.063550,-0.030920,0.361100,75.000000,5.300000,0.051000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.661750,0.032190,0.115600,-0.058180,0.050210,0.364030,42.000000,6.350000,1002x324,6.750000,6.900000,101.000000,2.630000,2.710000,354x167,3.200000,-0.336060,0.032270,0.115080,-0.065870,-0.034800,0.356550,70.000000,4.300000,0.041000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.629620,0.033750,0.118930,-0.060230,0.049360,0.358250,65.000000,5.450000,366x265,6.100000,6.200000,102.000000,2.980000,3.040000,448x271,3.440000,-0.369110,0.033760,0.119340,-0.067670,-0.037910,0.352120,77.000000,3.300000,0.032000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.595440,0.035210,0.122270,-0.060910,0.048020,0.351950,790.000000,5.450000,654x143,5.460000,5.550000,103.000000,3.360000,3.450000,1648x671,3.750000,-0.403910,0.034950,0.122360,-0.068940,-0.041430,0.349080,605.000000,2.300000,0.022000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.560150,0.036240,0.125000,-0.061250,0.045270,0.347040,213.000000,4.400000,439x774,4.850000,4.960000,104.000000,3.750000,3.850000,513x430,4.000000,-0.440080,0.036170,0.124330,-0.069760,-0.045640,0.343810,77.000000,1.300000,0.013000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.523110,0.037050,0.125320,-0.061860,0.043570,0.343480,183.000000,4.310000,720x642,4.300000,4.400000,105.000000,4.200000,4.360000,1521x695,4.950000,-0.476090,0.036750,0.126210,-0.069610,-0.049690,0.341990,67.000000,0.300000,0.003000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.485150,0.037660,0.125450,-0.060510,0.040870,0.335990,278.000000,3.820000,874x60,3.750000,3.850000,106.000000,4.700000,4.850000,1417x746,6.150000,-0.513560,0.037070,0.125400,-0.070280,-0.052960,0.338720,50.000000,0.700000,0.006000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.447080,0.037480,0.125050,-0.059850,0.038250,0.334120,62.000000,2.950000,396x505,3.290000,3.390000,107.000000,5.200000,5.360000,1248x453,5.680000,-0.552060,0.037440,0.125130,-0.068160,-0.057580,0.332500,26.000000,1.700000,0.016000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.409200,0.037370,0.122300,-0.057910,0.035560,0.329340,220.000000,2.900000,252x41,2.880000,2.940000,108.000000,5.800000,5.960000,486x517,7.150000,-0.588340,0.036860,0.122870,-0.067390,-0.060860,0.331540,1.000000,2.700000,0.025000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.371480,0.036710,0.119250,-0.055870,0.031720,0.325650,128.000000,2.300000,229x11,2.490000,2.520000,109.000000,6.410000,6.600000,1250x622,7.000000,-0.624680,0.036160,0.119220,-0.066000,-0.065690,0.329910,19.000000,3.700000,0.035000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.334440,0.035710,0.115130,-0.053410,0.028820,0.322400,811.000000,2.150000,405x46,2.120000,2.160000,110.000000,7.050000,7.250000,1225x623,8.700000,-0.659930,0.035100,0.114980,-0.063580,-0.069640,0.327900,11.000000,4.700000,0.044000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.300250,0.034280,0.109580,-0.051330,0.026630,0.320550,388.000000,1.840000,15x32,1.820000,1.850000,111.000000,7.750000,7.950000,1077x381,9.200000,-0.693460,0.033710,0.110900,-0.061020,-0.072670,0.326440,1.000000,5.700000,0.054000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.266180,0.032710,0.103850,-0.048140,0.023110,0.317650,57.000000,1.470000,287x162,1.520000,1.590000,112.000000,8.510000,8.700000,1081x10,9.300000,-0.725050,0.032020,0.104840,-0.059270,-0.076840,0.327020,1.000000,6.700000,0.063000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.235210,0.030820,0.096880,-0.044680,0.020970,0.315210,123.000000,1.190000,359x39,1.290000,1.330000,113.000000,9.300000,9.510000,48x21,9.860000,-0.751420,0.030050,0.099230,-0.057230,-0.080050,0.329210,3.000000,7.700000,0.073000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.205260,0.028690,0.090370,-0.041520,0.018540,0.313400,39.000000,1.010000,373x104,1.080000,1.120000,114.000000,10.050000,10.300000,10x10,10.250000,-0.780770,0.028260,0.092810,-0.053610,-0.083390,0.326860,2.000000,8.700000,0.082000
